Year,Geography Name,Poverty Estimate,Population Estimate,Poverty Percent
2015,Chula Vista,50,179,0.279
2015,Chula Vista,444,2630,0.169
2015,Chula Vista,201,1274,0.158
2015,Chula Vista,243,1356,0.179
2015,Chula Vista,355,1772,0.2
2015,Chula Vista,360,1929,0.187
2015,Chula Vista,318,936,0.34
2015,Chula Vista,118,615,0.192
2015,Chula Vista,143,432,0.331
2015,Chula Vista,1294,5684,0.228
2015,Chula Vista,832,2875,0.289
2015,Chula Vista,462,2809,0.164
2015,Chula Vista,580,2080,0.279
2015,Chula Vista,651,1964,0.331
2015,Chula Vista,796,1386,0.574
2015,Chula Vista,215,880,0.244
2015,Chula Vista,273,654,0.417
2015,Chula Vista,2515,6964,0.361
2015,Chula Vista,1673,3992,0.419
2015,Chula Vista,842,2972,0.283
2015,Chula Vista,190,1037,0.183
2015,Chula Vista,228,1556,0.147
2015,Chula Vista,253,816,0.31
2015,Chula Vista,78,494,0.158
2015,Chula Vista,37,203,0.182
2015,Chula Vista,786,4106,0.191
2015,Chula Vista,358,2115,0.169
2015,Chula Vista,428,1991,0.215
2015,Chula Vista,125,647,0.193
2015,Chula Vista,172,832,0.207
2015,Chula Vista,195,520,0.375
2015,Chula Vista,29,186,0.156
2015,Chula Vista,79,290,0.272
2015,Chula Vista,600,2475,0.242
2015,Chula Vista,316,1316,0.24
2015,Chula Vista,284,1159,0.245
2015,Chula Vista,282,1950,0.145
2015,Chula Vista,475,2197,0.216
2015,Chula Vista,363,1198,0.303
2015,Chula Vista,84,1263,0.067
2015,Chula Vista,280,611,0.458
2015,Chula Vista,1484,7219,0.206
2015,Chula Vista,817,3805,0.215
2015,Chula Vista,667,3414,0.195
2015,Chula Vista,137,1185,0.116
2015,Chula Vista,94,1947,0.048
2015,Chula Vista,201,1120,0.179
2015,Chula Vista,12,839,0.014
2015,Chula Vista,95,327,0.291
2015,Chula Vista,539,5418,0.099
2015,Chula Vista,284,2610,0.109
2015,Chula Vista,255,2808,0.091
2015,Chula Vista,154,1128,0.137
2015,Chula Vista,260,1824,0.143
2015,Chula Vista,175,800,0.219
2015,Chula Vista,102,860,0.119
2015,Chula Vista,31,258,0.12
2015,Chula Vista,722,4870,0.148
2015,Chula Vista,404,2688,0.15
2015,Chula Vista,318,2182,0.146
2015,Chula Vista,77,1377,0.056
2015,Chula Vista,311,2217,0.14
2015,Chula Vista,8,697,0.011
2015,Chula Vista,65,843,0.077
2015,Chula Vista,101,335,0.301
2015,Chula Vista,562,5469,0.103
2015,Chula Vista,342,2980,0.115
2015,Chula Vista,220,2489,0.088
2015,Chula Vista,145,1302,0.111
2015,Chula Vista,240,1502,0.16
2015,Chula Vista,98,731,0.134
2015,Chula Vista,40,469,0.085
2015,Chula Vista,30,229,0.131
2015,Chula Vista,553,4233,0.131
2015,Chula Vista,330,2310,0.143
2015,Chula Vista,223,1923,0.116
2015,Chula Vista,204,1119,0.182
2015,Chula Vista,124,1392,0.089
2015,Chula Vista,74,828,0.089
2015,Chula Vista,31,531,0.058
2015,Chula Vista,12,282,0.043
2015,Chula Vista,445,4152,0.107
2015,Chula Vista,258,1961,0.132
2015,Chula Vista,187,2191,0.085
2015,Chula Vista,65,1134,0.057
2015,Chula Vista,145,1264,0.115
2015,Chula Vista,112,782,0.143
2015,Chula Vista,45,388,0.116
2015,Chula Vista,42,339,0.124
2015,Chula Vista,409,3907,0.105
2015,Chula Vista,260,2112,0.123
2015,Chula Vista,149,1795,0.083
2015,Chula Vista,105,1767,0.059
2015,Chula Vista,139,2780,0.05
2015,Chula Vista,143,1445,0.099
2015,Chula Vista,56,989,0.057
2015,Chula Vista,34,494,0.069
2015,Chula Vista,477,7475,0.064
2015,Chula Vista,293,3707,0.079
2015,Chula Vista,184,3768,0.049
2015,Chula Vista,268,6112,0.044
2015,Chula Vista,1143,11782,0.097
2015,Chula Vista,1288,6743,0.191
2015,Chula Vista,169,1770,0.095
2015,Chula Vista,181,1437,0.126
2015,Chula Vista,3049,27844,0.11
2015,Chula Vista,1672,13932,0.12
2015,Chula Vista,1377,13912,0.099
2015,Chula Vista,230,2402,0.096
2015,Chula Vista,229,4416,0.052
2015,Chula Vista,80,2526,0.032
2015,Chula Vista,47,651,0.072
2015,Chula Vista,0,648,0
2015,Chula Vista,586,10643,0.055
2015,Chula Vista,396,5908,0.067
2015,Chula Vista,190,4735,0.04
2015,Chula Vista,20,827,0.024
2015,Chula Vista,45,1001,0.045
2015,Chula Vista,111,643,0.173
2015,Chula Vista,0,295,0
2015,Chula Vista,6,131,0.046
2015,Chula Vista,182,2897,0.063
2015,Chula Vista,113,1534,0.074
2015,Chula Vista,69,1363,0.051
2020,National City,47,714,0.066
2020,National City,78,1597,0.049
2015,Chula Vista,294,4086,0.072
2015,Chula Vista,291,4488,0.065
2015,Chula Vista,312,2512,0.124
2015,Chula Vista,17,497,0.034
2015,Chula Vista,33,1463,0.023
2015,Chula Vista,947,13046,0.073
2015,Chula Vista,590,6388,0.092
2015,Chula Vista,357,6658,0.054
2015,Chula Vista,329,4345,0.076
2015,Chula Vista,202,6543,0.031
2015,Chula Vista,368,4133,0.089
2015,Chula Vista,68,800,0.085
2015,Chula Vista,97,1289,0.075
2015,Chula Vista,1064,17110,0.062
2015,Chula Vista,717,8697,0.082
2015,Chula Vista,347,8413,0.041
2015,Chula Vista,61,1159,0.053
2015,Chula Vista,126,1759,0.072
2015,Chula Vista,0,554,0
2015,Chula Vista,38,853,0.045
2015,Chula Vista,7,230,0.03
2015,Chula Vista,232,4555,0.051
2015,Chula Vista,92,2187,0.042
2015,Chula Vista,140,2368,0.059
