Year,Geography Name,Poverty Estimate,Population Estimate,Poverty Percent
2015,Census Tract 13,767,6329,0.121
2015,Census Tract 13,430,3036,0.142
2015,Census Tract 13,337,3293,0.102
2015,Census Tract 14,148,1208,0.123
2015,Census Tract 14,113,1385,0.082
2015,Census Tract 14,18,243,0.074
2015,Census Tract 14,21,252,0.083
2015,Census Tract 14,33,198,0.167
2015,Census Tract 14,333,3286,0.101
2015,Census Tract 14,245,1907,0.128
2015,Census Tract 14,88,1379,0.064
2015,Census Tract 15,76,1202,0.063
2015,Census Tract 15,248,1729,0.143
2015,Census Tract 15,131,478,0.274
2015,Census Tract 15,24,281,0.085
2015,Census Tract 15,19,146,0.13
2015,Census Tract 15,498,3836,0.13
2015,Census Tract 15,311,2001,0.155
2015,Census Tract 15,187,1835,0.102
2015,Census Tract 16,470,1698,0.277
2015,Census Tract 16,650,2267,0.287
2015,Census Tract 16,250,625,0.4
2015,Census Tract 16,20,370,0.054
2015,Census Tract 16,107,332,0.322
2015,Census Tract 16,1497,5292,0.283
2015,Census Tract 16,704,2647,0.266
2015,Census Tract 16,793,2645,0.3
2015,Census Tract 17,147,1752,0.084
2015,Census Tract 17,302,1753,0.172
2015,Census Tract 17,110,536,0.205
2015,Census Tract 17,138,189,0.73
2015,Census Tract 17,24,257,0.093
2015,Census Tract 17,721,4487,0.161
2015,Census Tract 17,410,2254,0.182
2015,Census Tract 17,311,2233,0.139
2015,Census Tract 18,336,2200,0.153
2015,Census Tract 18,300,1841,0.163
2015,Census Tract 18,67,518,0.129
2015,Census Tract 18,18,429,0.042
2015,Census Tract 18,182,404,0.45
2015,Census Tract 18,903,5392,0.167
2015,Census Tract 18,606,2884,0.21
2015,Census Tract 18,297,2508,0.118
2015,Census Tract 19,75,653,0.115
2015,Census Tract 19,97,1738,0.056
2015,Census Tract 19,75,305,0.246
2015,Census Tract 19,33,370,0.089
2015,Census Tract 19,0,105,0
2015,Census Tract 19,280,3171,0.088
2015,Census Tract 19,140,1617,0.087
2015,Census Tract 19,140,1554,0.09
2015,Census Tract 20.01,76,483,0.157
2015,Census Tract 20.01,34,1484,0.023
2015,Census Tract 20.01,0,246,0
2015,Census Tract 20.01,0,854,0
2015,Census Tract 20.01,0,198,0
2015,Census Tract 20.01,110,3265,0.034
2015,Census Tract 20.01,76,1716,0.044
2015,Census Tract 20.01,34,1549,0.022
2015,Census Tract 20.02,49,622,0.079
2015,Census Tract 20.02,141,1201,0.117
2015,Census Tract 20.02,92,355,0.259
2015,Census Tract 20.02,0,234,0
2015,Census Tract 20.02,33,178,0.185
2015,Census Tract 20.02,315,2590,0.122
2015,Census Tract 20.02,154,1226,0.126
2015,Census Tract 20.02,161,1364,0.118
2015,Census Tract 21,192,1753,0.11
2015,Census Tract 21,345,2201,0.157
2015,Census Tract 21,36,303,0.119
2015,Census Tract 21,42,351,0.12
2015,Census Tract 21,74,234,0.316
2015,Census Tract 21,689,4842,0.142
2015,Census Tract 21,307,2535,0.121
2015,Census Tract 21,382,2307,0.166
2015,Census Tract 22.01,498,1278,0.39
2015,Census Tract 22.01,496,1275,0.389
2015,Census Tract 22.01,397,715,0.555
2015,Census Tract 22.01,44,100,0.44
2015,Census Tract 22.01,203,337,0.602
2015,Census Tract 22.01,1638,3705,0.442
2015,Census Tract 22.01,843,1890,0.446
2015,Census Tract 22.01,795,1815,0.438
2015,Census Tract 22.02,709,1769,0.401
2015,Census Tract 22.02,629,1601,0.393
2015,Census Tract 22.02,635,1004,0.632
2015,Census Tract 22.02,207,468,0.442
2015,Census Tract 22.02,266,546,0.487
2015,Census Tract 22.02,2446,5388,0.454
2015,Census Tract 22.02,1288,2517,0.512
2015,Census Tract 22.02,1158,2871,0.403
2015,Census Tract 23.01,361,1097,0.329
2015,Census Tract 23.01,259,1069,0.242
2015,Census Tract 23.01,319,499,0.639
2015,Census Tract 23.01,50,172,0.291
2015,Census Tract 23.01,133,293,0.454
2015,Census Tract 23.01,1122,3130,0.358
2015,Census Tract 23.01,738,1677,0.44
2015,Census Tract 23.01,384,1453,0.264
2015,Census Tract 23.02,852,1985,0.429
2015,Census Tract 23.02,820,2284,0.359
2015,Census Tract 23.02,493,1238,0.398
2015,Census Tract 23.02,100,448,0.223
2015,Census Tract 23.02,238,602,0.395
2015,Census Tract 23.02,2503,6557,0.382
2015,Census Tract 23.02,1309,3196,0.41
2015,Census Tract 23.02,1194,3361,0.355
2015,Census Tract 24.01,354,1698,0.208
2015,Census Tract 24.01,415,1729,0.24
2015,Census Tract 24.01,330,867,0.381
2015,Census Tract 24.01,16,232,0.069
2015,Census Tract 24.01,88,298,0.295
2015,Census Tract 24.01,1203,4824,0.249
2015,Census Tract 24.01,649,2259,0.287
2015,Census Tract 24.01,554,2565,0.216
2015,Census Tract 24.02,232,1644,0.141
2015,Census Tract 24.02,509,1644,0.31
2015,Census Tract 24.02,543,1334,0.407
2015,Census Tract 24.02,30,207,0.145
2015,Census Tract 24.02,106,407,0.26
2015,Census Tract 24.02,1420,5236,0.271
2015,Census Tract 24.02,852,2726,0.313
2015,Census Tract 24.02,568,2510,0.226
2015,Census Tract 25.01,244,1593,0.153
2015,Census Tract 25.01,526,2153,0.244
2015,Census Tract 25.01,290,1275,0.227
2015,Census Tract 25.01,130,445,0.292
2015,Census Tract 25.01,97,503,0.193
2015,Census Tract 25.01,1287,5969,0.216
2015,Census Tract 25.01,568,3117,0.182
2015,Census Tract 25.01,719,2852,0.252
2015,Census Tract 25.02,435,1983,0.219
2015,Census Tract 25.02,393,2313,0.17
2015,Census Tract 25.02,381,1279,0.298
2015,Census Tract 25.02,73,567,0.129
2015,Census Tract 25.02,234,376,0.622
2015,Census Tract 25.02,1516,6518,0.233
2015,Census Tract 25.02,759,3353,0.226
2015,Census Tract 25.02,757,3165,0.239
2015,Census Tract 26.01,907,2022,0.449
2015,Census Tract 26.01,616,1938,0.318
2015,Census Tract 26.01,612,1080,0.567
2015,Census Tract 26.01,147,385,0.382
2015,Census Tract 26.01,448,651,0.688
2015,Census Tract 26.01,2730,6076,0.449
2015,Census Tract 26.01,1575,3230,0.488
2015,Census Tract 26.01,1155,2846,0.406
2015,Census Tract 26.02,285,1357,0.21
2015,Census Tract 26.02,252,1500,0.168
2015,Census Tract 26.02,124,980,0.127
2015,Census Tract 26.02,33,158,0.209
2015,Census Tract 26.02,25,228,0.11
2015,Census Tract 26.02,719,4223,0.17
2015,Census Tract 26.02,492,2164,0.227
2015,Census Tract 26.02,227,2059,0.11
2015,Census Tract 27.02,740,2682,0.276
2015,Census Tract 27.02,125,1411,0.089
2015,Census Tract 27.02,103,641,0.161
2015,Census Tract 27.02,11,367,0.03
2015,Census Tract 27.02,40,385,0.104
2015,Census Tract 27.02,1019,5486,0.186
2015,Census Tract 27.02,353,2447,0.144
2015,Census Tract 27.02,666,3039,0.219
2015,Census Tract 27.03,563,2723,0.207
2015,Census Tract 27.03,434,2591,0.168
2015,Census Tract 27.03,188,855,0.22
2015,Census Tract 27.03,111,552,0.201
2015,Census Tract 27.03,161,436,0.369
2015,Census Tract 27.03,1457,7157,0.204
2015,Census Tract 27.03,641,3664,0.175
2015,Census Tract 27.03,816,3493,0.234
2015,Census Tract 27.05,153,1234,0.124
2015,Census Tract 27.05,201,1841,0.109
2015,Census Tract 27.05,394,985,0.4
2015,Census Tract 27.05,55,558,0.099
2015,Census Tract 27.05,143,221,0.647
2015,Census Tract 27.05,946,4839,0.195
2015,Census Tract 27.05,483,2278,0.212
2015,Census Tract 27.05,463,2561,0.181
2015,Census Tract 27.07,438,1387,0.316
2015,Census Tract 27.07,500,2064,0.242
2015,Census Tract 27.07,719,1288,0.558
2015,Census Tract 27.07,26,200,0.13
2015,Census Tract 27.07,221,566,0.39
2015,Census Tract 27.07,1904,5505,0.346
2015,Census Tract 27.07,1048,2800,0.374
2015,Census Tract 27.07,856,2705,0.316
2015,Census Tract 27.08,690,1719,0.401
2015,Census Tract 27.08,630,1790,0.352
2015,Census Tract 27.08,756,1415,0.534
2015,Census Tract 27.08,168,505,0.333
2015,Census Tract 27.08,411,676,0.608
2015,Census Tract 27.08,2655,6105,0.435
2015,Census Tract 27.08,1364,3090,0.441
2015,Census Tract 27.08,1291,3015,0.428
2015,Census Tract 27.09,370,951,0.389
2015,Census Tract 27.09,517,1268,0.408
2015,Census Tract 27.09,642,891,0.721
2015,Census Tract 27.09,44,191,0.23
2015,Census Tract 27.09,163,299,0.545
2015,Census Tract 27.09,1736,3600,0.482
2015,Census Tract 27.09,872,1727,0.505
2015,Census Tract 27.09,864,1873,0.461
2015,Census Tract 27.10,313,1230,0.254
2015,Census Tract 27.10,452,1368,0.33
2015,Census Tract 27.10,502,879,0.571
2015,Census Tract 27.10,64,306,0.209
2015,Census Tract 27.10,144,397,0.363
2015,Census Tract 27.10,1475,4180,0.353
2015,Census Tract 27.10,887,2198,0.404
2015,Census Tract 27.10,588,1982,0.297
2015,Census Tract 27.11,139,1041,0.134
2015,Census Tract 27.11,85,931,0.091
2015,Census Tract 27.11,47,725,0.065
2015,Census Tract 27.11,0,246,0
2015,Census Tract 27.11,113,585,0.193
2015,Census Tract 27.11,384,3528,0.109
2015,Census Tract 27.11,190,1745,0.109
2015,Census Tract 27.11,194,1783,0.109
2015,Census Tract 27.12,122,1296,0.094
2015,Census Tract 27.12,268,1601,0.167
2015,Census Tract 27.12,149,910,0.164
2015,Census Tract 27.12,39,566,0.069
2015,Census Tract 27.12,4,259,0.015
2015,Census Tract 27.12,582,4632,0.126
2015,Census Tract 27.12,391,2414,0.162
2015,Census Tract 27.12,191,2218,0.086
2015,Census Tract 28.01,1091,1476,0.739
2015,Census Tract 28.01,62,464,0.134
2015,Census Tract 28.01,0,60,0
2015,Census Tract 28.01,0,297,0
2015,Census Tract 28.01,0,47,0
2015,Census Tract 28.01,1153,2344,0.492
2015,Census Tract 28.01,742,1264,0.587
2015,Census Tract 28.01,411,1080,0.381
2015,Census Tract 28.03,559,1856,0.301
2015,Census Tract 28.03,156,1664,0.094
2015,Census Tract 28.03,124,717,0.173
2015,Census Tract 28.03,131,734,0.178
2015,Census Tract 28.03,106,394,0.269
2015,Census Tract 28.03,1076,5365,0.201
2015,Census Tract 28.03,703,2795,0.252
2015,Census Tract 28.03,373,2570,0.145
2015,Census Tract 28.04,976,1811,0.539
2015,Census Tract 28.04,230,1409,0.163
2015,Census Tract 28.04,25,280,0.089
2015,Census Tract 28.04,35,399,0.088
2015,Census Tract 28.04,14,303,0.046
2015,Census Tract 28.04,1280,4202,0.305
2015,Census Tract 28.04,736,2100,0.35
2015,Census Tract 28.04,544,2102,0.259
2015,Census Tract 29.02,485,2074,0.234
2015,Census Tract 29.02,502,2459,0.204
2015,Census Tract 29.02,218,1196,0.182
2015,Census Tract 29.02,31,658,0.047
2015,Census Tract 29.02,25,448,0.056
2015,Census Tract 29.02,1261,6835,0.184
2015,Census Tract 29.02,622,3538,0.176
2015,Census Tract 29.02,639,3297,0.194
2015,Census Tract 29.03,121,1051,0.115
2015,Census Tract 29.03,184,1614,0.114
2015,Census Tract 29.03,173,791,0.219
2015,Census Tract 29.03,29,486,0.06
2015,Census Tract 29.03,23,255,0.09
2015,Census Tract 29.03,530,4197,0.126
2015,Census Tract 29.03,357,2128,0.168
2015,Census Tract 29.03,173,2069,0.084
2015,Census Tract 29.04,2656,4304,0.617
2015,Census Tract 29.04,356,1168,0.305
2015,Census Tract 29.04,95,162,0.586
2015,Census Tract 29.04,51,328,0.155
2015,Census Tract 29.04,17,74,0.23
2015,Census Tract 29.04,3175,6036,0.526
2015,Census Tract 29.04,1353,2653,0.51
2015,Census Tract 29.04,1822,3383,0.539
2015,Census Tract 29.05,309,1398,0.221
2015,Census Tract 29.05,245,1758,0.139
2015,Census Tract 29.05,198,531,0.373
2015,Census Tract 29.05,10,292,0.034
2015,Census Tract 29.05,29,306,0.095
2015,Census Tract 29.05,791,4285,0.185
2015,Census Tract 29.05,318,2038,0.156
2015,Census Tract 29.05,473,2247,0.211
2015,Census Tract 30.01,77,1265,0.061
2015,Census Tract 30.01,202,1427,0.142
2015,Census Tract 30.01,177,1075,0.165
2015,Census Tract 30.01,64,482,0.133
2015,Census Tract 30.01,141,173,0.815
2015,Census Tract 30.01,661,4422,0.149
2015,Census Tract 30.01,419,2249,0.186
2015,Census Tract 30.01,242,2173,0.111
2015,Census Tract 30.03,171,1450,0.118
2015,Census Tract 30.03,166,1726,0.096
2015,Census Tract 30.03,183,732,0.25
2015,Census Tract 30.03,53,508,0.104
2015,Census Tract 30.03,229,620,0.369
2015,Census Tract 30.03,802,5036,0.159
2015,Census Tract 30.03,400,2451,0.163
2015,Census Tract 30.03,402,2585,0.156
2015,Census Tract 30.04,275,1567,0.175
2015,Census Tract 30.04,308,1802,0.171
2015,Census Tract 30.04,378,1136,0.333
2015,Census Tract 30.04,50,327,0.153
2015,Census Tract 30.04,73,543,0.134
2015,Census Tract 30.04,1084,5375,0.202
2015,Census Tract 30.04,625,2722,0.23
2015,Census Tract 30.04,459,2653,0.173
2015,Census Tract 31.01,140,1091,0.128
2015,Census Tract 31.01,172,1367,0.126
2015,Census Tract 31.01,76,580,0.131
2015,Census Tract 31.01,101,463,0.218
2015,Census Tract 31.01,81,209,0.388
2015,Census Tract 31.01,570,3710,0.154
2015,Census Tract 31.01,289,1791,0.161
2015,Census Tract 31.01,281,1919,0.146
2015,Census Tract 31.03,260,1721,0.151
2020,Census Tract 101.07,230,2922,0.079
2015,Census Tract 31.03,430,2484,0.173
2020,Census Tract 101.07,67,3768,0.018
2015,Census Tract 31.03,341,1175,0.29
2015,Census Tract 31.03,191,820,0.233
2015,Census Tract 31.03,23,463,0.05
2015,Census Tract 31.03,1245,6663,0.187
2015,Census Tract 31.03,553,3386,0.163
2015,Census Tract 31.03,692,3277,0.211
2015,Census Tract 31.05,97,1251,0.078
2015,Census Tract 31.05,73,1519,0.048
2015,Census Tract 31.05,86,779,0.11
2015,Census Tract 31.05,41,468,0.088
2015,Census Tract 31.05,144,630,0.229
2015,Census Tract 31.05,441,4647,0.095
2015,Census Tract 31.05,225,2095,0.107
2015,Census Tract 31.05,216,2552,0.085
2015,Census Tract 31.07,191,1765,0.108
2015,Census Tract 31.07,106,2296,0.046
2015,Census Tract 31.07,84,836,0.1
2015,Census Tract 31.07,140,954,0.147
2015,Census Tract 31.07,51,295,0.173
2015,Census Tract 31.07,572,6146,0.093
2015,Census Tract 31.07,384,2968,0.129
2015,Census Tract 31.07,188,3178,0.059
2015,Census Tract 31.08,76,897,0.085
2015,Census Tract 31.08,238,1442,0.165
2015,Census Tract 31.08,205,745,0.275
2015,Census Tract 31.08,21,324,0.065
2015,Census Tract 31.08,8,293,0.027
2015,Census Tract 31.08,548,3701,0.148
2015,Census Tract 31.08,316,1917,0.165
2015,Census Tract 31.08,232,1784,0.13
2015,Census Tract 31.09,113,981,0.115
2015,Census Tract 31.09,94,1446,0.065
2015,Census Tract 31.09,102,430,0.237
2015,Census Tract 31.09,71,485,0.146
2015,Census Tract 31.09,19,126,0.151
2015,Census Tract 31.09,399,3468,0.115
2015,Census Tract 31.09,140,1648,0.085
2015,Census Tract 31.09,259,1820,0.142
2015,Census Tract 31.11,512,2044,0.25
2015,Census Tract 31.11,577,2399,0.241
2015,Census Tract 31.11,637,1473,0.432
2015,Census Tract 31.11,142,638,0.223
2015,Census Tract 31.11,294,662,0.444
2015,Census Tract 31.11,2162,7216,0.3
2015,Census Tract 31.11,1200,3855,0.311
2015,Census Tract 31.11,962,3361,0.286
2015,Census Tract 31.12,290,1134,0.256
2015,Census Tract 31.12,331,1700,0.195
2015,Census Tract 31.12,310,740,0.419
2015,Census Tract 31.12,1,412,0.002
2015,Census Tract 31.12,110,273,0.403
2015,Census Tract 31.12,1042,4259,0.245
2015,Census Tract 31.12,518,2171,0.239
2015,Census Tract 31.12,524,2088,0.251
2015,Census Tract 31.13,188,1831,0.103
2015,Census Tract 31.13,201,2160,0.093
2015,Census Tract 31.13,61,591,0.103
2015,Census Tract 31.13,87,811,0.107
2015,Census Tract 31.13,21,255,0.082
2015,Census Tract 31.13,558,5648,0.099
2015,Census Tract 31.13,316,2731,0.116
2015,Census Tract 31.13,242,2917,0.083
2015,Census Tract 31.14,88,1058,0.083
2015,Census Tract 31.14,49,1323,0.037
2015,Census Tract 31.14,46,517,0.089
2015,Census Tract 31.14,108,485,0.223
2015,Census Tract 31.14,15,212,0.071
2015,Census Tract 31.14,306,3595,0.085
2015,Census Tract 31.14,129,1869,0.069
2015,Census Tract 31.14,177,1726,0.103
2015,Census Tract 31.15,361,1862,0.194
2015,Census Tract 31.15,322,2408,0.134
2015,Census Tract 31.15,450,1405,0.32
2015,Census Tract 31.15,77,951,0.081
2015,Census Tract 31.15,182,405,0.449
2015,Census Tract 31.15,1392,7031,0.198
2015,Census Tract 31.15,838,3550,0.236
2015,Census Tract 31.15,554,3481,0.159
2015,Census Tract 32.01,227,1864,0.122
2015,Census Tract 32.01,383,1698,0.226
2015,Census Tract 32.01,185,670,0.276
2015,Census Tract 32.01,47,390,0.121
2015,Census Tract 32.01,168,943,0.178
2015,Census Tract 32.01,1010,5565,0.181
2015,Census Tract 32.01,497,2715,0.183
2015,Census Tract 32.01,513,2850,0.18
2015,Census Tract 32.02,287,1329,0.216
2015,Census Tract 32.02,208,1672,0.124
2015,Census Tract 32.02,37,901,0.041
2015,Census Tract 32.02,95,623,0.152
2015,Census Tract 32.02,113,468,0.241
2015,Census Tract 32.02,740,4993,0.148
2015,Census Tract 32.02,369,2306,0.16
2015,Census Tract 32.02,371,2687,0.138
2020,Census Tract 101.09,17,1505,0.011
2015,Census Tract 32.04,191,1032,0.185
2015,Census Tract 32.04,149,1254,0.119
2015,Census Tract 32.04,115,529,0.217
2015,Census Tract 32.04,69,585,0.118
2015,Census Tract 32.04,56,134,0.418
2015,Census Tract 32.04,580,3534,0.164
2015,Census Tract 32.04,353,1822,0.194
2015,Census Tract 32.04,227,1712,0.133
2015,Census Tract 32.07,452,1768,0.256
2015,Census Tract 32.07,334,2528,0.132
2015,Census Tract 32.07,196,1030,0.19
2015,Census Tract 32.07,24,998,0.024
2015,Census Tract 32.07,0,232,0
2015,Census Tract 32.07,1006,6556,0.153
2015,Census Tract 32.07,499,3192,0.156
2015,Census Tract 32.07,507,3364,0.151
2015,Census Tract 32.08,344,1767,0.195
2015,Census Tract 32.08,506,2558,0.198
2015,Census Tract 32.08,371,1230,0.302
2015,Census Tract 32.08,8,533,0.015
2015,Census Tract 32.08,143,422,0.339
2015,Census Tract 32.08,1372,6510,0.211
2015,Census Tract 32.08,870,3576,0.243
2015,Census Tract 32.08,502,2934,0.171
2015,Census Tract 32.09,292,1816,0.161
2015,Census Tract 32.09,224,1973,0.114
2015,Census Tract 32.09,157,974,0.161
2015,Census Tract 32.09,25,370,0.068
2015,Census Tract 32.09,17,359,0.047
2015,Census Tract 32.09,715,5492,0.13
2015,Census Tract 32.09,435,2896,0.15
2015,Census Tract 32.09,280,2596,0.108
2015,Census Tract 32.11,36,898,0.04
2015,Census Tract 32.11,147,1262,0.116
2015,Census Tract 32.11,37,570,0.065
2015,Census Tract 32.11,18,526,0.034
2015,Census Tract 32.11,8,174,0.046
2015,Census Tract 32.11,246,3430,0.072
2015,Census Tract 32.11,124,1884,0.066
2015,Census Tract 32.11,122,1546,0.079
2015,Census Tract 32.12,19,795,0.024
2015,Census Tract 32.12,151,1355,0.111
2015,Census Tract 32.12,0,495,0
2015,Census Tract 32.12,49,603,0.081
2015,Census Tract 32.12,0,223,0
2015,Census Tract 32.12,219,3471,0.063
2015,Census Tract 32.12,156,1824,0.086
2015,Census Tract 32.12,63,1647,0.038
2015,Census Tract 32.13,110,1039,0.106
2015,Census Tract 32.13,101,1753,0.058
2015,Census Tract 32.13,49,705,0.07
2015,Census Tract 32.13,25,608,0.041
2015,Census Tract 32.13,14,215,0.065
2015,Census Tract 32.13,299,4320,0.069
2015,Census Tract 32.13,164,2279,0.072
2015,Census Tract 32.13,135,2041,0.066
2015,Census Tract 32.14,148,1498,0.099
2015,Census Tract 32.14,133,1922,0.069
2015,Census Tract 32.14,183,869,0.211
2015,Census Tract 32.14,70,521,0.134
2015,Census Tract 32.14,43,387,0.111
2015,Census Tract 32.14,577,5197,0.111
2015,Census Tract 32.14,283,2691,0.105
2015,Census Tract 32.14,294,2506,0.117
2015,Census Tract 33.01,301,910,0.331
2015,Census Tract 33.01,291,1170,0.249
2015,Census Tract 33.01,365,719,0.508
2015,Census Tract 33.01,30,254,0.118
2015,Census Tract 33.01,209,354,0.59
2015,Census Tract 33.01,1196,3407,0.351
2015,Census Tract 33.01,620,1839,0.337
2015,Census Tract 33.01,576,1568,0.367
2015,Census Tract 33.03,446,1280,0.348
2015,Census Tract 33.03,514,1366,0.376
2015,Census Tract 33.03,690,1144,0.603
2015,Census Tract 33.03,56,268,0.209
2015,Census Tract 33.03,253,411,0.616
2015,Census Tract 33.03,1959,4469,0.438
2015,Census Tract 33.03,990,2215,0.447
2015,Census Tract 33.03,969,2254,0.43
2015,Census Tract 33.04,307,1080,0.284
2015,Census Tract 33.04,515,1305,0.395
2015,Census Tract 33.04,695,1304,0.533
2015,Census Tract 33.04,105,335,0.313
2015,Census Tract 33.04,163,389,0.419
2015,Census Tract 33.04,1785,4413,0.404
2015,Census Tract 33.04,909,2334,0.389
2015,Census Tract 33.04,876,2079,0.421
2015,Census Tract 33.05,532,1449,0.367
2015,Census Tract 33.05,558,2064,0.27
2015,Census Tract 33.05,800,1468,0.545
2015,Census Tract 33.05,119,496,0.24
2015,Census Tract 33.05,238,413,0.576
2015,Census Tract 33.05,2247,5890,0.381
2015,Census Tract 33.05,1493,3356,0.445
2015,Census Tract 33.05,754,2534,0.298
2015,Census Tract 34.01,250,1939,0.129
2015,Census Tract 34.01,204,2197,0.093
